Body,Frame1Coord,Frame2Coord,IsItFromPE
Head0,"(619, 258)","(619, 258)",True
LeftArm0,"(646, 456)","(644, 462)",True
RightArm0,"(400, 479)","(402, 481)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(568, 229)","(568, 229)",True
LeftArm1,"(771, 264)","(773, 264)",True
RightArm1,None,None,True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(617, 258)","(617, 258)",True
LeftArm0,"(642, 464)","(638, 460)",True
RightArm0,"(402, 479)","(404, 479)",True
LeftLeg0,"(619, 607)","(638, 460)",True
RightLeg0,"(607, 607)","(404, 479)",True
Head1,"(570, 229)","(570, 229)",True
LeftArm1,"(771, 262)","(771, 262)",True
RightArm1,"(939, 518)","(939, 513)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(615, 258)","(615, 258)",True
LeftArm0,"(638, 460)","(640, 462)",True
RightArm0,"(406, 479)","(406, 479)",True
LeftLeg0,"(622, 605)","(640, 462)",True
RightLeg0,"(613, 603)","(406, 479)",True
Head1,"(572, 231)","(572, 231)",True
LeftArm1,"(773, 262)","(771, 264)",True
RightArm1,"(939, 513)","(939, 513)",True
LeftLeg1,"(556, 716)","(771, 264)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(615, 258)","(613, 258)",True
LeftArm0,"(642, 464)","(644, 462)",True
RightArm0,"(408, 479)","(406, 477)",True
LeftLeg0,"(619, 605)","(644, 462)",True
RightLeg0,None,None,True
Head1,"(574, 231)","(574, 231)",True
LeftArm1,"(773, 266)","(773, 266)",True
RightArm1,"(939, 513)","(939, 513)",True
LeftLeg1,"(554, 716)","(773, 266)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(613, 258)","(613, 258)",True
LeftArm0,"(644, 460)","(644, 458)",True
RightArm0,"(406, 477)","(406, 475)",True
LeftLeg0,"(619, 601)","(644, 458)",True
RightLeg0,None,None,True
Head1,"(574, 231)","(574, 231)",True
LeftArm1,"(775, 268)","(775, 270)",True
RightArm1,"(939, 515)","(935, 518)",True
LeftLeg1,"(554, 716)","(775, 270)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(611, 258)","(611, 258)",True
LeftArm0,"(646, 460)","(648, 460)",True
RightArm0,"(402, 477)","(400, 475)",True
LeftLeg0,"(619, 603)","(648, 460)",True
RightLeg0,"(613, 601)","(400, 475)",True
Head1,"(574, 231)","(574, 233)",True
LeftArm1,"(775, 268)","(773, 268)",True
RightArm1,"(933, 513)","(931, 511)",True
LeftLeg1,"(554, 716)","(773, 268)",True
RightLeg1,"(613, 601)","(931, 511)",True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(613, 258)","(611, 258)",True
LeftArm0,"(648, 458)","(650, 460)",True
RightArm0,"(400, 473)","(398, 473)",True
LeftLeg0,"(619, 601)","(650, 460)",True
RightLeg0,None,None,True
Head1,"(574, 233)","(574, 233)",True
LeftArm1,"(773, 270)","(775, 270)",True
RightArm1,"(929, 511)","(925, 515)",True
LeftLeg1,"(556, 716)","(775, 270)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(611, 258)","(609, 258)",True
LeftArm0,"(650, 462)","(650, 462)",True
RightArm0,"(398, 472)","(396, 473)",True
LeftLeg0,"(617, 601)","(650, 462)",True
RightLeg0,None,None,True
Head1,"(574, 235)","(574, 235)",True
LeftArm1,"(773, 268)","(773, 274)",True
RightArm1,"(398, 472)","(396, 473)",True
LeftLeg1,"(556, 716)","(773, 274)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(609, 258)","(609, 258)",True
LeftArm0,"(650, 460)","(652, 464)",True
RightArm0,"(394, 473)","(394, 473)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(572, 235)","(572, 235)",True
LeftArm1,"(773, 278)","(771, 278)",True
RightArm1,"(394, 473)","(394, 473)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(609, 258)","(609, 258)",True
LeftArm0,"(652, 464)","(652, 464)",True
RightArm0,"(392, 472)","(392, 472)",True
LeftLeg0,"(611, 597)","(652, 464)",True
RightLeg0,None,None,True
Head1,"(572, 235)","(572, 235)",True
LeftArm1,"(771, 280)","(771, 278)",True
RightArm1,"(392, 472)","(392, 472)",True
LeftLeg1,"(611, 597)","(771, 278)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(609, 258)","(609, 258)",True
LeftArm0,"(652, 464)","(652, 464)",True
RightArm0,"(392, 472)","(392, 472)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(572, 235)","(570, 235)",True
LeftArm1,"(771, 282)","(771, 280)",True
RightArm1,"(392, 472)","(392, 472)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(570, 235)","(570, 235)",True
LeftArm0,"(652, 466)","(652, 464)",True
RightArm0,"(392, 472)","(392, 473)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(570, 235)","(570, 235)",True
LeftArm1,"(773, 278)","(771, 280)",True
RightArm1,"(392, 472)","(392, 473)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(568, 235)","(568, 235)",True
LeftArm0,"(650, 464)","(650, 464)",True
RightArm0,"(392, 473)","(394, 473)",True
LeftLeg0,None,None,True
RightLeg0,None,None,True
Head1,"(568, 235)","(568, 235)",True
LeftArm1,"(771, 278)","(747, 297)",True
RightArm1,"(392, 473)","(394, 473)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(566, 233)","(566, 233)",True
LeftArm0,"(648, 462)","(644, 462)",True
RightArm0,"(394, 475)","(394, 475)",True
LeftLeg0,"(619, 605)","(644, 462)",True
RightLeg0,None,None,True
Head1,"(566, 233)","(566, 233)",True
LeftArm1,"(749, 297)","(767, 286)",True
RightArm1,"(394, 475)","(394, 475)",True
LeftLeg1,"(619, 605)","(767, 286)",True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(605, 258)","(607, 258)",True
LeftArm0,"(642, 462)","(640, 462)",True
RightArm0,"(396, 475)","(396, 475)",True
LeftLeg0,"(617, 607)","(640, 462)",True
RightLeg0,None,None,True
Head1,"(605, 258)","(607, 258)",True
LeftArm1,"(749, 297)","(767, 280)",True
RightArm1,"(396, 475)","(396, 475)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(607, 258)","(607, 258)",True
LeftArm0,"(638, 462)","(636, 460)",True
RightArm0,"(396, 475)","(394, 475)",True
LeftLeg0,"(615, 603)","(636, 460)",True
RightLeg0,"(459, 716)","(394, 475)",True
Head1,"(607, 258)","(607, 258)",True
LeftArm1,"(771, 276)","(771, 274)",True
RightArm1,"(396, 475)","(394, 475)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(607, 258)","(607, 258)",True
LeftArm0,"(636, 460)","(634, 460)",True
RightArm0,"(394, 477)","(394, 475)",True
LeftLeg0,"(613, 603)","(634, 460)",True
RightLeg0,"(457, 716)","(394, 475)",True
